nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao,P1,P2,P3,K1,K2,K3,S1,S2,S3
Nome:_COLINAS_Codigo_Estacao:_82676,COLINAS,82676,-6.03305554,-44.23333333,175.56,Operante,2000-01-01,2024-06-01,Mensal,-0.6968529053744973,0.6958376280981172,-0.5120134169968773,-0.39393939393939387,0.5757575757575757,-0.2727272727272727,-0.5804195804195804,0.7692307692307693,-0.40559440559440557
Nome:_IMPERATRIZ_Codigo_Estacao:_82564,IMPERATRIZ,82564,-5.53638888,-47.47888888,126.33,Operante,2000-01-01,2024-06-01,Mensal,-0.8650869431687289,0.7717372806089425,-0.8021688228875102,-0.5151515151515151,0.6363636363636362,-0.5757575757575757,-0.6993006993006993,0.8041958041958042,-0.8251748251748252
Nome:_SAO_LUIS_Codigo_Estacao:_82280,SAO LUIS,82280,-2.52666666,-44.21361111,32.58,Operante,2000-01-01,2024-06-01,Mensal,-0.9669525348636528,-0.8411343296279856,0.7491515506935266,-0.8181818181818181,-0.6666666666666666,0.5454545454545454,-0.9370629370629371,-0.8321678321678322,0.7342657342657343
Nome:_TURIACU_Codigo_Estacao:_82198,TURIACU,82198,-1.66138888,-45.37194443,34.48,Operante,2000-01-01,2024-06-01,Mensal,-0.38600951777543635,0.09249898898406003,0.5303140119975223,-0.1515151515151515,0.1212121212121212,0.2424242424242424,-0.3076923076923077,0.23076923076923078,0.42657342657342656
Nome:_ZE_DOCA_Codigo_Estacao:_82376,ZE DOCA,82376,-3.26916666,-45.65111111,46.71,Operante,2000-01-01,2024-06-01,Mensal,-0.4452888432221541,-0.05359260917641812,-0.5303443129032874,-0.2424242424242424,-0.1212121212121212,-0.3333333333333333,-0.4125874125874126,-0.15384615384615385,-0.45454545454545453
Nome:_AREIA_Codigo_Estacao:_82696,AREIA,82696,-6.97555554,-35.71805554,571.75,Operante,2000-01-01,2024-06-01,Mensal,0.0745886108348232,-0.8097618815162912,-0.4757684460835418,-0.015267620413811482,-0.5757575757575757,-0.41222575117291005,-0.017513161708458656,-0.7552447552447552,-0.5429080129622184
Nome:_CAMARATUBA_Codigo_Estacao:_82695,CAMARATUBA,82695,-6.561813,-35.135316,135.51,Desativada,2000-01-01,2008-08-29,Mensal,0.2974803986730356,-0.6070115845535885,-0.5161365182043216,0.1212121212121212,-0.3333333333333333,-0.3636363636363636,0.24475524475524477,-0.4755244755244755,-0.5664335664335665
Nome:_CAMPINA_GRANDE_Codigo_Estacao:_82795,CAMPINA GRANDE,82795,-7.22555554,-35.90472222,546.27,Operante,2000-01-01,2024-06-01,Mensal,0.13727770960079627,-0.7293381691417903,-0.28798928635700677,0.0303030303030303,-0.6363636363636362,-0.1515151515151515,0.027972027972027972,-0.8391608391608392,-0.21678321678321677
Nome:_GUARABIRA_Codigo_Estacao:_82697,GUARABIRA,82697,-6.85,-35.48,101.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_JOAO_PESSOA_Codigo_Estacao:_82798,JOAO PESSOA,82798,-7.09527777,-34.8486111,9.67,Operante,2000-01-01,2024-06-01,Mensal,0.24437202755163914,-0.2255140249685783,-0.9686459214179864,0.1212121212121212,-0.0606060606060606,-0.8787878787878787,0.13286713286713286,-0.04895104895104895,-0.965034965034965
Nome:_MONTEIRO_Codigo_Estacao:_82792,MONTEIRO,82792,-7.89444444,-37.12472221,606.41,Operante,2000-01-01,2024-06-01,Mensal,-0.2107351465546553,-0.07988861314528002,0.18594658870254244,-0.1818181818181818,-0.1212121212121212,0.2121212121212121,-0.20279720279720279,-0.23776223776223776,0.34965034965034963
Nome:_PATOS_Codigo_Estacao:_82791,PATOS,82791,-7.05361111,-37.27388888,251.65,Operante,2000-01-01,2024-06-01,Mensal,-0.46192826165082485,-0.7844549807368387,0.7990883804813663,-0.4242424242424242,-0.7272727272727272,0.5757575757575757,-0.6013986013986014,-0.8881118881118881,0.7482517482517482
Nome:_SAO_GONCALO_Codigo_Estacao:_82689,SAO GONCALO,82689,-6.83583333,-38.31166666,237.04,Operante,2000-01-01,2024-06-01,Mensal,-0.42287282707709917,-0.002879832682182196,-0.5568818609408016,-0.303030303030303,0.0909090909090909,-0.303030303030303,-0.43356643356643354,0.04895104895104895,-0.43356643356643354
Nome:_ARCO_VERDE_Codigo_Estacao:_82890,ARCO VERDE,82890,-8.4336111,-37.05527777,683.91,Operante,2000-01-01,2024-06-01,Mensal,0.4670127946215631,-0.4557388317089493,-0.569256481154209,0.39393939393939387,-0.1818181818181818,-0.3636363636363636,0.5104895104895105,-0.2727272727272727,-0.46853146853146854
Nome:_CABROBO_Codigo_Estacao:_82886,CABROBO,82886,-8.50388888,-39.31527777,342.78,Operante,2000-01-01,2024-06-01,Mensal,-0.3348408360724586,-0.36596707083490543,-0.2864326777069134,-0.1515151515151515,-0.3333333333333333,-0.39393939393939387,-0.2517482517482518,-0.40559440559440557,-0.5454545454545454
Nome:_GARANHUNS_Codigo_Estacao:_82893,GARANHUNS,82893,-8.91083333,-36.49333333,827.78,Fechada,2000-01-01,2022-11-11,Mensal,0.8009374706164646,-0.8110528818934364,-0.9470500845258496,0.5649019553110248,-0.6259724369662708,-0.8181818181818181,0.756568585805414,-0.8196159679558651,-0.9090909090909091
Nome:_GOIANA_Codigo_Estacao:_82799,GOIANA,82799,-7.55,-34.98,11.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_NAZARE_DA_MATA_Codigo_Estacao:_82781,NAZARE DA MATA,82781,-7.73,-35.25,87.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_OLINDA_Codigo_Estacao:_82898,OLINDA,82898,-8.02,-34.85,55.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_OURICURI_Codigo_Estacao:_82753,OURICURI,82753,-7.87944443,-40.09194444,462.01,Operante,2000-01-01,2024-06-01,Mensal,-0.31780187313280445,-0.13899353422567684,-0.6728112595856787,-0.303030303030303,0.0606060606060606,-0.5757575757575757,-0.3916083916083916,-0.02097902097902098,-0.6643356643356644
Nome:_PESQUEIRA_Codigo_Estacao:_82892,PESQUEIRA,82892,-8.370701,-36.707812,643.38,Desativada,2000-01-01,2015-11-18,Mensal,,,,,,,,,
Nome:_PETROLINA_Codigo_Estacao:_82983,PETROLINA,82983,-9.3886111,-40.52333332,372.54,Operante,2000-01-01,2024-06-01,Mensal,-0.47214669880904037,-0.9174277873050121,0.5751514292937032,-0.3333333333333333,-0.8484848484848484,0.4242424242424242,-0.4755244755244755,-0.9440559440559441,0.6293706293706294
Nome:_RECIFE_(CURADO)_Codigo_Estacao:_82900,RECIFE (CURADO),82900,-8.05916666,-34.95916666,11.3,Fechada,2000-01-01,2020-08-31,Mensal,-0.8865223490478331,-0.9314696808629798,0.7446692550123419,-0.7878787878787877,-0.8484848484848484,0.6363636363636362,-0.916083916083916,-0.9370629370629371,0.7972027972027972
